id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30131884,Charming Newly Remodeled Laurelhurst Apartment,56120416,Colleen,Other neighborhoods,Laurelhurst,47.66029,-122.27537,Entire home/apt,76,2,34,2021-01-30,1.79,1,74
30155968,Quaint suite less than a mile from Green Lake,367889724,Loftium,Northgate,North College Park,47.69104,-122.34384,Entire home/apt,51,30,106,2020-08-29,3.83,1,0
30161231,Backyard Cottage in West Seattle,50487726,Abigail & Justin,West Seattle,Fairmount Park,47.55023,-122.38325,Entire home/apt,168,1,130,2021-01-01,4.73,1,138
30228341,New townhouse 3BR/2BR rooftop deck central Seattle,292885274,Keyi,Central Area,Minor,47.60237,-122.31359,Entire home/apt,240,30,9,2019-11-03,0.47,1,177
30234326,Delightful Studio near Space Needle,86157147,Lyle,Downtown,Belltown,47.61673,-122.34721,Entire home/apt,81,2,35,2021-02-28,2.42,14,71
30237428,University Garden Suite,18228620,Victoria,Other neighborhoods,Laurelhurst,47.6561,-122.28191,Entire home/apt,199,4,26,2021-02-16,1.06,1,143
30270054,WFH oasis! 5-br Midcentury Modern near Ballard,2946002,Jeff,Other neighborhoods,North Beach/Blue Ridge,47.69853,-122.37776,Entire home/apt,159,30,0,,,1,25
30290674,Cozy Garden Studio,4371576,Ellen/ Tom,Other neighborhoods,Broadview,47.71195,-122.35709,Entire home/apt,75,14,35,2021-02-28,1.40,1,40
30340928,Eco-Apartment with Private Balcony - Near Beach,140236800,TurnKey Vacation Rentals,West Seattle,Alki,47.56682,-122.39975,Entire home/apt,151,2,5,2019-10-01,0.23,44,225
30417137,Large studio apt near Capitol Hill & Seattle U,228162888,Khoi,Central Area,Minor,47.60712,-122.31513,Entire home/apt,79,10,95,2021-02-23,3.78,1,3
30421688,Jackson Park Retreat,228409668,,Lake City,Olympic Hills,47.72265,-122.31229,Entire home/apt,69,30,29,2020-07-02,1.20,1,260
30421999,"Modern Condo with Pool, Hot Tub & Rooftop Deck",140236800,TurnKey Vacation Rentals,Downtown,Belltown,47.61524,-122.3487,Entire home/apt,90,2,14,2020-06-21,0.52,44,315
30426797,Established Wedgwood house in park-like setting,228443514,,Other neighborhoods,Wedgwood,47.68738,-122.28304,Entire home/apt,196,7,18,2021-02-20,0.72,1,37
30513400,Madison Park Townhouse with Lake Views,228982176,Katie,Capitol Hill,Madison Park,47.63346,-122.27775,Entire home/apt,234,2,45,2020-09-04,1.66,1,87
30535269,"Comfy  3 Bedroom House, with all the amenities.",228721932,Rickie,Central Area,Mann,47.61561,-122.29741,Entire home/apt,200,1,41,2021-02-28,1.64,1,338
30578185,*Outstanding* apt. near Seattle Ctr.-So Lake Union,11383663,David,Queen Anne,West Queen Anne,47.63256,-122.35996,Entire home/apt,130,3,71,2021-01-07,2.60,2,158
30739349,A-Seattle Urban Village- Lopez- Roof top view deck,39834464,,Cascade,Eastlake,47.64052,-122.32335,Private room,51,30,5,2020-11-14,0.21,48,314
30772471,Charming Seattle retreat in Beacon Hill,230248235,Allyson,Beacon Hill,Mid-Beacon Hill,47.54978,-122.29474,Entire home/apt,230,2,32,2020-12-19,1.18,1,114
30775742,Spacious modern studio one block from Green Lake,230270645,Martha,Other neighborhoods,Wallingford,47.67132,-122.33555,Entire home/apt,79,30,78,2020-08-13,2.95,1,125
30797362,*NEW*HUGE DOWNTOWN BALLARD 8BEDS LARGE DECK W VIEW,23165254,Luxsle/Com,Ballard,West Woodland,47.66399,-122.36602,Entire home/apt,240,1,41,2021-03-12,1.52,17,337
30808504,Panoramic Views in Luxury Downtown Residence,9885864,Sky,Downtown,Pike-Market,47.6089,-122.33954,Entire home/apt,120,30,1,2018-12-24,0.04,1,12
30815319,Private West Seattle Garden Suite,133282491,Renate,West Seattle,Seaview,47.55567,-122.39657,Entire home/apt,82,1,107,2021-03-14,3.91,1,276
30859809,Ground floor private bed/bath in Ballard,230715390,Sean,Ballard,Whittier Heights,47.67912,-122.37524,Private room,80,30,26,2020-10-26,1.06,1,147
30874441,Lovely Laurelhurst - Music Room & Sunny Yard,140236800,TurnKey Vacation Rentals,Other neighborhoods,Laurelhurst,47.66164,-122.27513,Entire home/apt,169,2,7,2020-12-23,0.34,44,187
30894545,"Townhouse at Downtown, Seattle University, Swedish",17342935,David,Central Area,Mann,47.60873,-122.29946,Entire home/apt,200,30,2,2020-08-20,0.09,2,351
30915295,3 Bedrooms in walkable Wallingford,56004960,Andrew,Other neighborhoods,Wallingford,47.66431,-122.33635,Entire home/apt,340,30,0,,,2,179
